task_name,priority,category,deadline_gap,estimated_time,actual_time,status,completion_rate,created_at
Clean inbox,Medium,Personal,6,4.1,4.78,Completed,1.17,2025-11-13 21:16:52
Plan weekly schedule,High,Personal,5,3.29,4.37,Completed,1.33,2026-02-09 10:52:55
Update CRM records,High,Work,2,1.5,1.6,Completed,1.07,2026-02-11 16:35:53
Process invoices,Low,Work,27,3.33,5.22,Completed,1.57,2026-01-07 06:05:29
Debug production issue,Low,Work,7,0.5,0.74,Completed,1.48,2026-03-02 08:33:10
Attend stakeholder meeting,Low,Work,13,0.5,0.57,Completed,1.14,2025-11-06 15:19:18
Deploy to staging,Medium,Work,12,37.77,27.26,Completed,0.72,2026-03-23 12:28:40
Refactor authentication module,Medium,Work,4,5.92,6.27,Completed,1.06,2025-11-02 02:13:22
Schedule team outing,High,Personal,5,0.5,0.57,Completed,1.14,2026-02-06 21:38:36
Create sprint backlog,Low,Work,14,0.5,0.4,Completed,0.8,2025-11-02 06:50:42
Schedule doctor appointment,High,Health,4,3.18,3.39,Completed,1.07,2026-01-13 20:01:57
Write research summary,Medium,Study,8,1.22,1.03,Completed,0.84,2025-11-27 11:21:39
Complete online course module,Medium,Study,13,0.5,0.61,Completed,1.22,2026-02-13 01:44:37
Review lecture notes,Medium,Study,6,0.5,0.65,Completed,1.3,2026-01-15 13:16:34
Process invoices,High,Work,6,1.77,1.87,Completed,1.06,2025-11-29 10:28:06
Practice coding problems,Low,Study,8,17.49,34.08,Completed,1.95,2026-03-26 08:51:54
Prepare client proposal,Low,Work,15,18.77,17.45,Completed,0.93,2025-11-27 18:14:19
Track daily nutrients,Low,Health,29,6.44,5.62,Completed,0.87,2025-11-28 01:53:56
Organize digital files,High,Personal,6,1.16,0.94,Completed,0.81,2025-11-14 12:49:02
Process invoices,High,Work,5,0.5,0.56,Completed,1.12,2025-12-07 19:27:07
Evening run,High,Health,5,1.95,2.2,Completed,1.13,2025-12-27 02:00:47
Draft email campaign,Low,Work,23,2.04,2.44,Completed,1.2,2025-11-04 10:39:21
Review lecture notes,Low,Study,11,0.5,0.52,Completed,1.04,2026-03-20 14:20:41
Review insurance documents,Low,Personal,19,0.94,1.57,Completed,1.67,2026-02-10 12:01:43
Morning workout,Low,Health,24,2.15,1.47,Completed,0.68,2026-02-26 21:20:16
File expense reports,High,Personal,5,4.83,5.03,Completed,1.04,2026-03-16 00:55:01
Organize digital files,Medium,Personal,5,2.36,3.19,Completed,1.35,2025-10-18 10:06:42
Stretching routine,Medium,Health,7,51.78,74.19,Completed,1.43,2026-03-14 17:59:19
Create sprint backlog,Low,Work,27,0.5,0.6,Completed,1.2,2026-03-30 05:27:03
Schedule team outing,Low,Personal,11,1.56,2.56,Completed,1.64,2026-03-14 20:32:43
Review quarterly report,Low,Work,23,0.5,0.62,Completed,1.24,2026-02-11 02:16:17
Optimize database query,Medium,Work,7,0.5,0.45,Completed,0.9,2025-10-29 00:56:18
Prepare client proposal,High,Work,1,2.23,2.91,Completed,1.3,2026-03-08 21:55:26
Review pull request,Low,Work,11,0.9,1.49,Completed,1.66,2026-02-22 21:38:57
Update CRM records,High,Work,3,1.74,1.75,Completed,1.01,2026-04-05 04:49:12
Clean inbox,High,Personal,5,1.74,2.32,Completed,1.33,2026-03-05 05:34:13
Write test cases,High,Work,6,1.14,1.52,Completed,1.33,2026-01-10 20:40:54
Practice coding problems,Low,Study,14,0.5,0.79,Completed,1.58,2025-10-30 05:22:11
Prepare sales forecast,Low,Work,14,2.11,2.52,Completed,1.19,2025-11-29 13:16:29
Optimize database query,Low,Work,8,1.45,0.88,Completed,0.61,2025-10-30 21:05:44
Learn new framework,Low,Study,9,0.98,1.4,Completed,1.43,2025-12-03 00:10:10
Review pull request,Low,Work,24,3.53,3.95,Completed,1.12,2026-03-07 06:03:17
Meal prep,Low,Health,22,0.5,0.56,Completed,1.12,2026-03-19 03:34:44
Conduct team standup,Low,Work,10,2.89,4.09,Completed,1.42,2026-02-22 18:04:10
Update project timeline,Low,Work,21,0.72,1.07,Completed,1.49,2026-02-25 13:05:37
Prepare presentation slides,High,Study,1,9.85,12.27,Completed,1.25,2026-03-08 04:42:31
Write API documentation,Medium,Work,6,4.69,5.24,Completed,1.12,2025-11-23 17:25:30
Analyze user metrics,High,Work,3,1.91,1.68,Completed,0.88,2025-12-05 07:10:11
Organize workspace,Low,Personal,10,2.94,4.09,Completed,1.39,2026-02-21 10:12:10
Meal prep,Low,Health,9,5.92,7.21,Completed,1.22,2025-11-19 02:03:12
Update project timeline,Low,Work,19,35.24,40.62,Completed,1.15,2025-11-18 18:15:07
Analyze user metrics,High,Work,3,0.71,0.7,Completed,0.99,2025-12-12 04:20:42
Process invoices,High,Work,7,0.98,1.14,Completed,1.16,2026-02-23 07:31:52
Clean inbox,Low,Personal,16,6.72,9.15,Completed,1.36,2025-10-29 03:32:21
Schedule team outing,High,Personal,6,1.87,2.04,Completed,1.09,2025-10-28 21:23:49
Update CRM records,High,Work,7,0.5,0.55,Completed,1.1,2025-11-17 08:40:37
Debug production issue,High,Work,7,1.58,2.32,Completed,1.47,2025-10-31 02:19:12
Refactor authentication module,High,Work,2,1.94,2.22,Completed,1.14,2025-11-10 01:41:58
Prepare healthy lunch,High,Health,5,2.17,2.01,Completed,0.93,2025-10-25 12:11:49
Update contact list,High,Personal,5,4.92,5.97,Completed,1.21,2026-01-27 07:19:53
Attend stakeholder meeting,Low,Work,28,6.2,6.09,Completed,0.98,2025-12-03 03:20:40
Analyze user metrics,Low,Work,16,6.44,5.21,Completed,0.81,2025-12-18 04:28:48
Meditation session,High,Health,1,4.38,6.26,Completed,1.43,2026-02-15 09:47:57
Learn new framework,Low,Study,9,1.94,2.14,Completed,1.1,2025-11-28 04:21:30
Clean inbox,Medium,Personal,4,2.17,2.33,Completed,1.07,2025-12-28 13:06:30
Create sprint backlog,Low,Work,24,0.5,0.66,Completed,1.32,2026-02-13 13:36:44
Study research paper,Low,Study,23,0.5,0.73,Completed,1.46,2026-02-24 11:27:20
Complete online course module,Low,Study,28,0.5,0.92,Completed,1.84,2026-04-06 07:21:20
Process invoices,High,Work,6,0.5,0.53,Completed,1.06,2025-11-16 23:25:38
Attend stakeholder meeting,Low,Work,29,2.43,2.11,Completed,0.87,2025-11-26 07:49:11
Organize digital files,High,Personal,5,22.34,28.95,Completed,1.3,2025-12-05 13:17:50
Evening run,High,Health,1,2.51,2.83,Completed,1.13,2026-03-27 20:01:47
Deploy to staging,High,Work,6,26.53,32.29,Completed,1.22,2025-11-18 04:00:50
Plan commute route,High,Personal,4,0.5,0.45,Completed,0.9,2025-10-19 16:03:05
Review pull request,High,Work,6,2.07,2.37,Completed,1.14,2026-01-31 17:37:21
Review pull request,High,Work,5,1.66,1.91,Completed,1.15,2026-01-09 05:56:19
Write test cases,Low,Work,8,0.5,0.69,Completed,1.38,2025-11-27 14:00:54
Plan commute route,Low,Personal,18,1.61,1.69,Completed,1.05,2026-04-07 11:21:13
Yoga practice,Low,Health,30,3.97,5.82,Completed,1.47,2026-04-15 13:21:34
Evening run,Low,Health,12,0.5,0.76,Completed,1.52,2025-10-22 14:30:01
Optimize database query,Low,Work,20,0.5,0.79,Completed,1.58,2025-12-08 14:23:32
Update project timeline,Low,Work,19,3.2,3.24,Completed,1.01,2026-04-02 12:19:19
Write test cases,Medium,Work,10,5.24,6.83,Completed,1.3,2025-12-16 01:16:48
Study research paper,Medium,Study,6,3.08,5.16,Completed,1.68,2026-02-22 22:57:54
Deploy to staging,Medium,Work,4,1.48,1.5,Completed,1.01,2025-12-24 23:26:49
Schedule team outing,Medium,Personal,11,0.51,0.51,Completed,1.0,2025-10-23 03:36:55
Prepare sales forecast,High,Work,2,1.13,1.3,Completed,1.15,2025-12-08 08:09:01
Attend stakeholder meeting,High,Work,3,1.66,2.03,Completed,1.22,2026-01-10 12:43:49
Update contact list,High,Personal,4,1.26,1.66,Completed,1.32,2025-11-23 16:49:07
Update CRM records,Low,Work,7,3.52,7.93,Completed,2.0,2026-04-15 12:28:49
Meal prep,Medium,Health,14,1.83,1.8,Completed,0.98,2025-12-27 12:22:57
Update contact list,Medium,Personal,8,0.5,0.66,Completed,1.32,2025-12-17 17:56:25
File expense reports,Medium,Personal,11,0.55,0.76,Completed,1.38,2026-02-24 06:56:01
Process invoices,Medium,Work,7,1.88,2.22,Completed,1.18,2025-11-11 12:11:29
Debug production issue,Medium,Work,9,0.5,0.41,Completed,0.82,2026-02-14 07:29:41
File expense reports,Medium,Personal,3,1.11,1.57,Completed,1.41,2025-12-12 12:06:08
Attend stakeholder meeting,Medium,Work,12,2.1,1.87,Completed,0.89,2026-01-16 01:59:22
Draft email campaign,Low,Work,23,6.72,9.64,Completed,1.43,2026-03-20 22:03:45
Gym session,High,Health,2,0.5,0.56,Completed,1.12,2025-12-11 21:31:40
Prepare client proposal,High,Work,3,1.02,0.95,Completed,0.93,2026-03-25 17:07:02
Meal prep,High,Health,3,1.47,1.74,Completed,1.18,2026-03-23 09:50:34
