task_name,priority,category,deadline_gap,estimated_time,actual_time,status,completion_rate,created_at
Prepare presentation,Low,Work,24,1.33,1.41,Completed,1.06,2025-11-12 19:26:08
Study chapter,Low,Work,18,6.06,4.93,Completed,0.81,2025-12-21 09:29:47
Organize files,High,Health,17,2.14,2.57,Completed,1.2,2026-01-17 10:47:23
Update portfolio,High,Personal,9,3.87,5.05,Completed,1.3,2025-10-01 17:29:05
Code review,Low,Work,9,3.67,3.31,Completed,0.9,2026-02-25 17:20:19
Create dashboard,High,Work,12,3.35,4.43,Completed,1.32,2026-01-25 16:45:56
Plan meeting,Low,Study,4,3.95,7.76,Completed,1.96,2025-12-12 23:17:47
Attend webinar,Low,Work,28,5.14,6.01,Completed,1.17,2025-11-06 19:19:41
Submit assignment,High,Work,25,5.46,5.7,Completed,1.04,2025-10-15 23:03:21
Write blog post,Medium,Study,21,2.58,3.79,Completed,1.47,2025-11-01 01:13:16
Update resume,High,Personal,23,5.53,7.57,Completed,1.37,2026-02-03 07:15:43
Book appointment,Low,Personal,6,5.97,7.77,Completed,1.3,2025-11-21 21:14:46
Study chapter,Low,Study,25,2.93,5.01,Completed,1.71,2025-11-13 22:38:22
Attend webinar,Medium,Study,7,2.51,3.84,Completed,1.53,2026-01-18 14:26:56
Weekly review,High,Personal,13,5.42,7.28,Completed,1.34,2026-02-02 07:06:18
Review analytics,Medium,Health,24,1.55,1.94,Completed,1.25,2025-11-20 11:39:46
Optimize query,Low,Health,8,3.5,6.99,Completed,2.0,2025-10-27 07:52:15
Write unit tests,High,Health,28,6.17,5.89,Completed,0.95,2026-01-30 07:18:31
Setup CI pipeline,Low,Study,13,0.98,1.45,Completed,1.48,2025-12-30 08:28:08
Water plants,Low,Study,1,6.96,11.03,Completed,1.58,2025-10-22 17:02:53
Write report,Low,Study,10,3.05,3.86,Completed,1.27,2025-12-27 13:42:14
Book appointment,Low,Study,17,6.21,11.71,Completed,1.89,2026-03-18 12:06:32
Write unit tests,Low,Work,7,4.31,3.87,Completed,0.9,2026-02-25 12:45:22
Meditate,Low,Personal,1,2.93,2.48,Completed,0.85,2025-12-09 22:48:40
Sketch wireframe,High,Health,19,2.31,3.17,Completed,1.37,2025-10-17 02:22:20
Backup photos,High,Health,18,7.83,10.05,Completed,1.28,2025-10-25 09:32:45
Call client,Low,Personal,17,1.74,3.19,Completed,1.83,2025-12-21 15:09:50
Setup CI pipeline,Low,Health,22,2.84,4.39,Completed,1.55,2025-12-24 12:53:33
Plan sprint,High,Personal,3,2.36,2.52,Completed,1.07,2026-01-22 16:54:56
Submit assignment,Low,Work,3,2.15,3.48,Completed,1.62,2025-10-11 21:34:11
Backup photos,High,Health,3,6.95,8.04,Completed,1.16,2025-11-23 12:59:47
Write API docs,High,Health,24,4.54,6.21,Completed,1.37,2026-01-19 08:27:07
Review PR,High,Health,26,6.38,7.04,Completed,1.1,2025-10-18 18:47:18
Water plants,Medium,Work,15,3.68,5.49,Completed,1.49,2025-10-10 23:39:15
Refactor module,High,Personal,11,3.52,4.58,Completed,1.3,2025-10-21 16:25:44
Weekly review,High,Personal,5,4.52,5.02,Completed,1.11,2025-11-23 13:18:46
Fix login bug,High,Work,28,3.82,5.07,Completed,1.33,2025-10-19 11:29:09
Draft proposal,High,Health,28,7.45,7.59,Completed,1.02,2025-12-18 09:13:30
Write report,High,Health,29,6.98,6.49,Completed,0.93,2025-12-13 01:20:27
Pay bills,Medium,Health,26,7.45,8.67,Completed,1.16,2025-12-21 14:33:21
Review analytics,High,Work,7,1.92,2.66,Completed,1.39,2026-01-20 22:22:26
Setup CI pipeline,Low,Personal,2,2.85,4.16,Completed,1.46,2026-01-06 02:39:03
Meal prep,High,Work,3,7.71,10.22,Completed,1.33,2025-10-13 18:31:51
Write API docs,Low,Personal,13,6.96,5.96,Completed,0.86,2026-03-22 08:14:16
Gym session,Low,Study,20,4.96,4.0,Completed,0.81,2026-02-05 02:46:45
Update dependencies,Medium,Personal,23,2.03,2.13,Completed,1.05,2025-11-21 01:03:06
Update resume,Low,Work,15,5.34,5.93,Completed,1.11,2026-02-23 11:08:26
Run benchmarks,Medium,Personal,19,5.16,8.24,Completed,1.6,2025-10-14 16:37:04
Refactor module,Low,Study,30,2.49,2.87,Completed,1.15,2025-10-13 19:47:20
Track expenses,Medium,Work,27,1.68,2.07,Completed,1.23,2025-11-28 05:01:49
Prepare presentation,Low,Study,10,6.63,12.67,Completed,1.91,2025-10-20 13:56:47
Morning workout,High,Personal,24,7.17,8.44,Completed,1.18,2025-11-22 08:25:58
Optimize query,Low,Health,22,3.07,4.68,Completed,1.52,2025-11-20 17:27:08
Clean inbox,Medium,Study,28,7.29,6.13,Completed,0.84,2026-01-31 15:10:41
Write unit tests,High,Health,25,0.53,0.51,Completed,0.96,2025-11-20 07:59:54
Pay bills,Low,Personal,18,5.79,4.13,Completed,0.71,2025-10-15 01:51:36
Clean inbox,Low,Personal,12,0.77,1.12,Completed,1.45,2025-10-29 05:21:55
Study chapter,High,Study,29,2.81,3.84,Completed,1.37,2026-03-16 14:21:47
Plan sprint,High,Health,22,5.62,5.35,Completed,0.95,2026-02-28 22:48:12
Write unit tests,Low,Personal,30,6.12,11.68,Completed,1.91,2026-03-17 08:33:10
Research tools,Medium,Personal,24,0.69,1.06,Completed,1.54,2026-03-01 09:23:01
Study chapter,Medium,Health,23,1.69,1.5,Completed,0.89,2026-03-18 19:47:24
Submit assignment,High,Personal,30,2.0,2.26,Completed,1.13,2025-11-28 17:29:27
Update resume,High,Study,13,5.45,5.8,Completed,1.06,2026-03-17 07:22:30
Run benchmarks,Medium,Study,13,5.31,7.13,Completed,1.34,2026-03-13 06:56:39
Study chapter,High,Work,9,1.37,1.36,Completed,0.99,2025-11-21 00:21:40
Meal prep,Low,Work,24,3.76,6.48,Completed,1.72,2025-12-24 04:56:28
Clean inbox,Medium,Work,7,7.25,7.28,Completed,1.0,2026-02-15 02:22:37
Review analytics,Low,Personal,18,7.44,11.85,Completed,1.59,2026-02-21 12:56:10
Team standup,Medium,Work,22,3.73,5.73,Completed,1.54,2026-01-29 11:18:46
Team standup,Low,Health,17,7.25,7.99,Completed,1.1,2025-12-18 18:26:50
Schedule interview,Low,Personal,5,2.72,2.58,Completed,0.95,2026-02-06 13:59:38
Meditate,Low,Study,13,4.77,6.74,Completed,1.41,2025-09-30 13:05:24
Weekly review,High,Health,19,3.72,4.48,Completed,1.2,2025-12-02 00:59:18
Review analytics,Medium,Personal,17,5.57,6.56,Completed,1.18,2026-03-24 11:00:19
Code review,Low,Work,17,1.14,1.78,Completed,1.56,2026-01-28 17:09:46
Send emails,High,Work,8,5.55,7.23,Completed,1.3,2025-10-29 01:55:03
Weekly review,High,Health,20,7.88,10.44,Completed,1.32,2025-10-14 14:36:08
Update dependencies,Low,Personal,23,4.82,7.74,Completed,1.61,2026-01-04 11:09:46
File taxes,High,Work,1,5.42,7.3,Completed,1.35,2026-03-16 13:08:31
Weekly review,Medium,Work,26,2.14,3.35,Completed,1.57,2026-01-09 01:03:23
Weekly review,Low,Study,28,2.37,2.03,Completed,0.86,2025-10-26 08:36:12
Plan sprint,Medium,Health,24,5.09,7.7,Completed,1.51,2025-12-22 07:57:15
Refactor module,High,Study,16,6.08,6.84,Completed,1.12,2026-02-23 10:43:55
Attend webinar,Low,Study,8,4.13,4.37,Completed,1.06,2025-10-15 12:17:48
Prepare presentation,High,Personal,11,2.54,3.42,Completed,1.35,2025-10-16 02:43:02
Research tools,High,Health,5,3.37,4.22,Completed,1.25,2025-10-12 22:31:35
Research tools,Medium,Health,14,4.57,3.88,Completed,0.85,2026-03-11 04:45:09
Write API docs,Low,Health,1,7.6,13.78,Completed,1.81,2026-02-26 03:07:39
Research tools,Medium,Personal,12,0.54,0.56,Completed,1.04,2025-12-15 04:40:04
Code review,Medium,Health,14,2.15,2.56,Completed,1.19,2025-12-14 23:24:15
Run benchmarks,Low,Work,15,1.74,3.3,Completed,1.9,2026-01-29 07:07:33
Clean inbox,Medium,Personal,22,4.94,4.06,Completed,0.82,2026-02-02 06:37:43
Weekly review,Medium,Study,9,1.86,2.05,Completed,1.1,2025-11-10 13:36:24
Research tools,Medium,Study,13,6.21,6.35,Completed,1.02,2026-03-11 00:14:47
Submit assignment,High,Work,24,4.03,4.71,Completed,1.17,2025-12-07 10:07:54
Send emails,Low,Personal,1,0.8,1.55,Completed,1.94,2025-11-08 04:17:11
Weekly review,High,Study,22,1.45,1.39,Completed,0.96,2025-11-11 18:59:12
Design mockup,Medium,Personal,20,1.76,2.76,Completed,1.57,2026-02-16 22:59:08
Water plants,Medium,Health,1,1.31,2.02,Completed,1.54,2026-01-20 06:36:20
Book appointment,Medium,Personal,7,7.56,6.51,Completed,0.86,2026-02-11 13:41:41
Design mockup,High,Work,10,5.73,7.59,Completed,1.32,2026-01-25 01:19:09
Learn new framework,Medium,Study,22,4.5,4.93,Completed,1.1,2026-01-06 17:08:47
Write blog post,High,Health,27,6.87,7.87,Completed,1.15,2025-12-23 15:33:49
Grocery shopping,Low,Health,6,1.65,2.73,Completed,1.65,2026-02-03 18:32:58
Refactor module,Medium,Work,24,3.77,4.8,Completed,1.27,2025-12-02 01:14:47
Track expenses,Medium,Health,8,7.11,9.96,Completed,1.4,2026-01-19 02:53:24
Call client,Medium,Study,28,0.72,0.76,Completed,1.06,2026-01-03 03:20:44
Grocery shopping,Medium,Work,29,3.05,3.89,Completed,1.28,2026-03-20 08:47:45
Draft proposal,Low,Personal,3,7.61,7.71,Completed,1.01,2025-12-18 09:17:26
Send emails,Low,Work,23,4.07,5.45,Completed,1.34,2026-03-03 10:32:00
Gym session,Medium,Study,23,2.16,2.15,Completed,1.0,2026-02-06 09:28:34
Plan sprint,Medium,Study,12,4.65,5.3,Completed,1.14,2026-02-22 07:30:33
Design mockup,Medium,Personal,9,5.77,6.03,Completed,1.05,2025-11-14 05:35:00
Read documentation,Medium,Personal,18,1.4,2.18,Completed,1.56,2026-02-11 11:35:37
Setup CI pipeline,High,Study,9,6.04,7.62,Completed,1.26,2026-02-25 02:01:26
Meditate,High,Work,10,6.74,6.83,Completed,1.01,2025-11-04 07:27:23
Plan sprint,Low,Study,9,4.51,3.42,Completed,0.76,2025-10-11 01:18:28
Review PR,Low,Work,21,7.58,13.86,Completed,1.83,2026-01-03 18:51:31
Fix login bug,Low,Study,16,2.63,3.35,Completed,1.27,2025-11-05 06:23:43
Write API docs,Medium,Work,3,1.36,1.52,Completed,1.12,2025-10-14 20:26:46
Refactor module,High,Work,19,1.62,2.23,Completed,1.38,2025-10-17 00:10:12
Submit assignment,Low,Health,20,6.23,9.19,Completed,1.48,2026-01-28 13:14:12
Meditate,Medium,Work,10,7.31,10.88,Completed,1.49,2025-12-22 17:41:24
